lat,lon,corrected_best_combined_lcow_usd_m3,corrected_hydrogel_thickness_mm,corrected_vapor_gap_mm,corrected_fin_area_ratio,original_best_combined_lcow_usd_m3,original_design_corrected_lcow_usd_m3,regret_frac,design_changed
15.0,45.0,6.372979055293067,3.21830366656828,59.999999944665454,11.999999794221305,10.672413287699499,6.4066831474693275,0.00528859296160211,True
15.0,48.0,4.962100706885269,3.7404593068662733,60.0,12.0,8.399636380909508,4.984746911864203,0.004563834213906821,True
15.0,75.0,4.595338812273287,2.4102193285125844,47.72782603881471,12.0,7.541290634756175,4.610350118126228,0.003266637448548766,True
15.0,78.0,5.0878405152684225,2.6842901234931977,59.99999978535936,11.999999991159823,8.413983657994635,5.1152506025152364,0.005387371550770364,True
15.0,99.0,4.764257251017312,2.4968482062331714,60.0,12.0,7.820080839914737,4.794849185343235,0.006421134022389589,True
15.0,102.0,4.489216228009349,2.73326069403426,59.06941788182617,12.0,7.438145822587453,4.506198269715039,0.003782852249293504,True
15.0,105.0,4.545015554327858,2.655958553772591,59.06941974096322,12.0,7.512050964159519,4.560229119442551,0.0033473076016662454,True
15.0,108.0,5.598853308647122,2.1197774161123757,52.195420118342824,11.129749690185756,9.103535684944351,5.615436256168896,0.0029618471154016714,True
18.0,-102.0,4.023857559214054,2.6557898600941066,49.00507751685645,12.0,6.643660201446511,4.052158339458887,0.007033246040240229,True
18.0,-99.0,4.578517392261998,3.0364629826751064,60.0,12.0,7.618738176613963,4.605821654847512,0.005963559870201707,True
18.0,-96.0,4.2317795545836665,2.2035769586147103,51.68558921418201,12.0,6.920839424561958,4.253946292253238,0.005238159829370397,True
18.0,-93.0,4.205520931820702,2.639211455806078,48.88485338253066,10.830343176248935,6.9150866749650035,4.227521814614268,0.00523142867441174,True
18.0,-90.0,4.164708185602689,2.639211455806078,48.88485338253066,10.830343176248935,6.8155606925107595,4.166676841626513,0.0004726996313042888,True
18.0,-66.0,3.925110777594987,2.3415727014146843,34.881265297877206,12.0,6.424946534795253,3.949141977289474,0.006122425851433205,True
18.0,-15.0,7.0317337259859745,2.93511983416222,59.999999993415706,11.99999997419681,11.707593254854014,7.0638112320581605,0.004561820359272525,True
18.0,-12.0,9.89207820611087,3.3262896371790203,60.0,12.0,16.63693799535782,9.927719343220813,0.003602997910785373,True
18.0,-9.0,9.65107001995792,3.3872114317308473,60.0,12.0,16.205206525159923,9.698984979143631,0.004964730240960348,True
18.0,-6.0,9.336141708832754,3.298279322215179,59.999999475110144,11.999999958933012,15.68497205329573,9.370866806636474,0.0037194270274269496,True
18.0,-3.0,10.38355494038182,3.157874744244783,59.99999962908671,11.99999992485612,17.366070953276935,10.442595911179072,0.005686007454695556,True
18.0,0.0,11.063298089100416,3.2583841867515524,60.0,12.0,18.508772546527045,11.132106150024589,0.006219489014036679,True
18.0,3.0,10.479011675712522,3.0412193318953986,60.0,12.0,17.470930053526104,10.554761243779966,0.007228693927597252,True
18.0,6.0,10.908744429142239,3.18229623931832,56.26868460244371,11.416180117084606,18.10357883484566,10.96372704009542,0.005040232751837,True
18.0,9.0,10.421070601747658,3.608868515404519,59.99999993091609,11.999999979787633,17.301624265324318,10.488364994779316,0.006457531630231144,True
18.0,12.0,9.52761622657977,2.9428091399138743,60.0,12.0,15.819431869394858,9.614840952594434,0.009154936968528206,True
18.0,15.0,9.429585897962584,3.04880143332377,59.999999746879794,11.999999953698802,15.697060216804354,9.506125486491845,0.008116961800602385,True
18.0,18.0,9.731146542707515,4.028985845526374,60.0,12.0,16.30051999329973,9.819253384933676,0.009054107020121648,True
18.0,21.0,9.333537769286039,2.8940265596303325,59.999999916316284,11.99999998409558,15.503573224167047,9.40468107085638,0.007622329638441412,True
18.0,24.0,9.164354040734842,3.238729005918145,59.99999987056356,11.999999971906664,15.19479511598239,9.228996906175249,0.0070537285173700205,True
18.0,27.0,9.522893638955999,3.006568687726107,60.0,12.0,15.840930625696261,9.602237649150268,0.008331922333952248,True
18.0,30.0,10.30965615638728,3.0556996784025277,59.999999564430254,11.999999950583204,17.203516819088268,10.381688955169691,0.006986925430852854,True
18.0,33.0,9.143237665609727,3.079159844148361,59.99999813941841,11.999999954512049,15.258682806901536,9.195149603242534,0.0056776318773887665,True
18.0,36.0,5.8350894003573694,2.934751376573418,59.99999989512506,11.99999998078201,9.713981828028485,5.857617373050931,0.0038607759278172695,True
18.0,42.0,4.941940296010167,3.4724953478218445,59.99999945579948,11.99999992879319,8.297382867583178,4.962871011015989,0.004235323324872983,True
18.0,45.0,8.29870343475888,2.923467787954006,59.99999841675212,11.999999988302264,13.77273571962464,8.336887783097287,0.0046012426686407515,True
18.0,48.0,8.830150038890022,2.70573670408763,60.0,12.0,14.60969910810232,8.853613770754825,0.0026572291253787643,True
18.0,51.0,6.375022938003231,4.150260083025964,59.999999993138665,11.999999945012878,10.776862441588946,6.40188732400388,0.0042140061709430325,True
18.0,54.0,5.157385159554015,4.060640262267204,59.99999950435629,11.999998946389923,8.763479331634771,5.192401591813401,0.00678957091163117,True
18.0,75.0,5.454667447881449,2.6581128780409116,60.0,12.0,8.980086308120807,5.5025388973389395,0.008776236116114368,True
18.0,78.0,5.3265691282110526,2.7577025360018053,60.0,12.0,8.80462627885084,5.343078919186976,0.0030995168894894193,True
18.0,81.0,4.742005654145534,2.4591647421969505,60.0,12.0,7.786450672092389,4.760228124668458,0.0038427770551040987,True
18.0,96.0,5.031654138239236,2.3655439698395058,51.83639938057852,12.0,8.228211236013077,5.057237603236635,0.005084503881729747,True
18.0,99.0,4.5576352715281905,2.2035769586147103,51.68558921418201,12.0,7.445133825623325,4.576207810925201,0.00407503854313094,True
