lat,lon,elev_m
60.0,-117.0,300.0
60.0,-114.0,292.0
60.0,-111.0,282.0
60.0,-108.0,481.0
60.0,-105.0,479.0
60.0,-102.0,354.0
60.0,-99.0,311.0
60.0,-96.0,160.0
60.0,-75.0,178.0
60.0,-72.0,216.0
60.0,6.0,382.0
60.0,9.0,918.0
60.0,12.0,340.0
60.0,15.0,271.0
60.0,18.0,38.0
60.0,24.0,0.0
60.0,30.0,0.0
60.0,33.0,58.0
60.0,36.0,178.0
60.0,39.0,143.0
60.0,42.0,222.0
60.0,45.0,178.0
60.0,48.0,173.0
60.0,51.0,206.0
60.0,54.0,177.0
60.0,57.0,148.0
60.0,60.0,250.0
60.0,63.0,81.0
60.0,66.0,49.0
60.0,69.0,39.0
60.0,72.0,62.0
60.0,75.0,87.0
60.0,78.0,89.0
60.0,81.0,73.0
60.0,84.0,150.0
60.0,87.0,156.0
60.0,90.0,130.0
60.0,93.0,526.0
60.0,96.0,464.0
60.0,99.0,415.0
60.0,102.0,375.0
60.0,105.0,366.0
60.0,108.0,322.0
60.0,111.0,396.0
60.0,114.0,405.0
60.0,117.0,197.0
60.0,120.0,277.0
60.0,123.0,412.0
60.0,126.0,621.0
60.0,129.0,353.0
60.0,132.0,218.0
60.0,135.0,329.0
60.0,138.0,635.0
60.0,141.0,840.0
60.0,144.0,310.0
60.0,147.0,340.0
60.0,150.0,704.0
60.0,153.0,174.0
60.0,162.0,269.0
60.0,165.0,45.0
63.0,-162.0,268.0
63.0,-159.0,32.0
63.0,-156.0,126.0
63.0,-153.0,363.0
63.0,-150.0,664.0
63.0,-147.0,820.0
63.0,-144.0,1322.0
63.0,-141.0,699.0
63.0,-48.0,2088.0
63.0,-45.0,2833.0
63.0,9.0,26.0
63.0,12.0,730.0
63.0,15.0,356.0
63.0,18.0,121.0
63.0,24.0,124.0
63.0,27.0,107.0
63.0,30.0,109.0
66.0,-165.0,24.0
